Country_Region,Province_State,Confirmed,Recovered,Active,Deaths,Mortality,Date
Canada,Yukon,84,80,2,2,2.38,05-11-2021
Canada,Alberta,213635,186550,24962,2123,0.99,05-12-2021
Canada,British Columbia,137223,129524,6072,1627,1.19,05-12-2021
Canada,Canada,1313727,1204334,84645,24748,1.88,05-12-2021
Canada,Manitoba,43140,38203,3938,999,2.32,05-12-2021
Canada,New Brunswick,2024,1859,124,41,2.03,05-12-2021
Canada,Newfoundland and Labrador,1166,1075,85,6,0.51,05-12-2021
Canada,Northwest Territories,120,63,57,0,0.0,05-12-2021
Canada,Nova Scotia,4297,2609,1617,71,1.65,05-12-2021
Canada,Nunavut,594,521,69,4,0.67,05-12-2021
Canada,Ontario,507261,461076,37830,8355,1.65,05-12-2021
Canada,Prince Edward Island,187,179,8,0,0.0,05-12-2021
Canada,Quebec,360201,341433,7756,11012,3.06,05-12-2021
Canada,Saskatchewan,43782,41149,2125,508,1.16,05-12-2021
Canada,Yukon,84,80,2,2,2.38,05-12-2021
Canada,Alberta,215193,188475,24586,2132,0.99,05-13-2021
Canada,British Columbia,137810,130310,5868,1632,1.18,05-13-2021
Canada,Canada,1320086,1212114,83160,24812,1.88,05-13-2021
Canada,Manitoba,43698,38652,4044,1002,2.29,05-13-2021
Canada,New Brunswick,2040,1871,128,41,2.01,05-13-2021
Canada,Newfoundland and Labrador,1173,1081,86,6,0.51,05-13-2021
Canada,Northwest Territories,121,77,44,0,0.0,05-13-2021
Canada,Nova Scotia,4407,2764,1572,71,1.61,05-13-2021
Canada,Nunavut,606,528,74,4,0.66,05-13-2021
Canada,Ontario,509764,464531,36841,8392,1.65,05-13-2021
Canada,Prince Edward Island,188,181,7,0,0.0,05-13-2021
Canada,Quebec,360982,342170,7795,11017,3.05,05-13-2021
Canada,Saskatchewan,44007,41381,2113,513,1.17,05-13-2021
Canada,Yukon,84,80,2,2,2.38,05-13-2021
Canada,Alberta,216626,190616,23873,2137,0.99,05-14-2021
Canada,British Columbia,138304,130953,5717,1634,1.18,05-14-2021
Canada,Canada,1326256,1220116,81287,24853,1.87,05-14-2021
Canada,Manitoba,44187,39024,4161,1002,2.27,05-14-2021
Canada,New Brunswick,2045,1887,117,41,2.0,05-14-2021
Canada,Newfoundland and Labrador,1179,1083,90,6,0.51,05-14-2021
Canada,Northwest Territories,121,83,38,0,0.0,05-14-2021
Canada,Nova Scotia,4524,2915,1537,72,1.59,05-14-2021
Canada,Nunavut,618,536,78,4,0.65,05-14-2021
Canada,Ontario,512310,468033,35862,8415,1.64,05-14-2021
Canada,Prince Edward Island,190,181,9,0,0.0,05-14-2021
Canada,Quebec,361820,343142,7653,11025,3.05,05-14-2021
Canada,Saskatchewan,44235,41569,2151,515,1.16,05-14-2021
Canada,Yukon,84,81,1,2,2.38,05-14-2021
Canada,Alberta,217821,192688,22993,2140,0.98,05-15-2021
Canada,British Columbia,138304,130953,5717,1634,1.18,05-15-2021
Canada,Canada,1331316,1226870,79566,24880,1.87,05-15-2021
Canada,Manitoba,44615,39392,4217,1006,2.25,05-15-2021
Canada,New Brunswick,2052,1897,114,41,2.0,05-15-2021
Canada,Newfoundland and Labrador,1184,1096,82,6,0.51,05-15-2021
Canada,Northwest Territories,121,83,38,0,0.0,05-15-2021
Canada,Nova Scotia,4610,3030,1508,72,1.56,05-15-2021
Canada,Nunavut,623,545,74,4,0.64,05-15-2021
Canada,Ontario,514684,471096,35161,8427,1.64,05-15-2021
Canada,Prince Edward Island,191,181,10,0,0.0,05-15-2021
Canada,Quebec,362580,344039,7509,11032,3.04,05-15-2021
Canada,Saskatchewan,44434,41776,2142,516,1.16,05-15-2021
Canada,Yukon,84,81,1,2,2.38,05-15-2021
Canada,Alberta,218961,194538,22280,2143,0.98,05-16-2021
Canada,British Columbia,138304,130953,5717,1634,1.18,05-16-2021
Canada,Canada,1336030,1233293,77843,24894,1.86,05-16-2021
Canada,Manitoba,45149,39699,4440,1010,2.24,05-16-2021
Canada,New Brunswick,2062,1905,116,41,1.99,05-16-2021
Canada,Newfoundland and Labrador,1193,1098,89,6,0.5,05-16-2021
Canada,Northwest Territories,121,83,38,0,0.0,05-16-2021
Canada,Nova Scotia,4736,3133,1531,72,1.52,05-16-2021
Canada,Nunavut,623,552,67,4,0.64,05-16-2021
Canada,Ontario,516696,474175,34090,8431,1.63,05-16-2021
